0.5 0.903987 0.0110627
0.55 0.817729 0.0155912
0.6 0.708587 0.0130448
0.65 0.565272 0.0108662
0.7 0.454711 0.00917404
0.75 0.362934 0.00786093
0.8 0.293312 0.00601139
0.85 0.243749 0.00601347
0.9 0.202213 0.00529283
0.95 0.17242 0.0047414
1 0.148026 0.00386817
1.05 0.12591 0.00334864
1.1 0.110946 0.00294657
1.15 0.0976271 0.00260646
1.2 0.0891158 0.00237601
1.25 0.0792562 0.00213139
1.3 0.0718004 0.00202225
1.35 0.0649421 0.00180357
1.4 0.0598787 0.00164423
1.45 0.0548578 0.00156273
1.5 0.0511438 0.00145677
1.55 0.046805 0.00147558
1.6 0.0437183 0.00137673
1.65 0.0412274 0.00134167
1.7 0.0387182 0.00122443
1.75 0.0361642 0.00116033
1.8 0.0340494 0.00114393
1.85 0.0322371 0.0010775
1.9 0.0301113 0.00106692
1.95 0.0286424 0.00106997
2 0.0269708 0.00103061
