0.5 0.89911 0.00836478
0.55 0.788214 0.0108904
0.6 0.65473 0.01291
0.65 0.538232 0.00833859
0.7 0.445918 0.00704489
0.75 0.356924 0.00701235
0.8 0.285335 0.00624835
0.85 0.231422 0.00465986
0.9 0.199408 0.00416367
0.95 0.172594 0.00375421
1 0.144977 0.0024714
1.05 0.122452 0.00257909
1.1 0.111289 0.00268863
1.15 0.0932018 0.00231552
1.2 0.0853406 0.00187156
1.25 0.0758789 0.00164423
1.3 0.0683891 0.00155688
1.35 0.0655909 0.00143638
1.4 0.0583668 0.00118256
1.45 0.0548467 0.00157392
1.5 0.0512886 0.000973297
1.55 0.0464633 0.0010091
1.6 0.0429279 0.000913958
1.65 0.0411708 0.00101896
1.7 0.0386549 0.000850227
1.75 0.0362976 0.000887067
1.8 0.0347536 0.000884991
1.85 0.0300856 0.000926217
1.9 0.0305528 0.000903301
1.95 0.0294741 0.000763896
2 0.027643 0.000741847
