0.7 0.5 -0.189295 0.00245254
0.7 0.51 -0.225988 0.00249947
0.7 0.52 -0.251362 0.00204982
0.7 0.53 -0.275947 0.00210723
0.7 0.54 -0.29535 0.00190225
0.7 0.55 -0.311096 0.00195572
0.7 0.56 -0.324237 0.00163855
0.7 0.57 -0.335836 0.00162369
0.7 0.58 -0.343923 0.00159276
0.7 0.59 -0.348586 0.00167664
0.7 0.6 -0.353079 0.00152224
0.7 0.61 -0.353573 0.00157496
0.7 0.62 -0.356845 0.00164688
0.7 0.63 -0.355885 0.00193883
0.7 0.64 -0.35652 0.00201413
0.7 0.65 -0.35368 0.00211633
0.7 0.66 -0.348847 0.00209103
0.7 0.67 -0.343882 0.00210875
0.7 0.68 -0.33691 0.002158
0.7 0.69 -0.333435 0.00250937
0.7 0.7 -0.323826 0.00248358
0.7 0.71 -0.319982 0.00264083
0.7 0.72 -0.311374 0.00307031
0.7 0.73 -0.30801 0.00281204
0.7 0.74 -0.295678 0.00294774
0.7 0.75 -0.286958 0.00349992
0.7 0.76 -0.277875 0.00391064
0.7 0.77 -0.267389 0.00390642
0.7 0.78 -0.260641 0.00412281
0.7 0.79 -0.256099 0.00386298
0.71 0.5 -0.19234 0.00250636
0.71 0.51 -0.225643 0.0024139
0.71 0.52 -0.253099 0.00190467
0.71 0.53 -0.277874 0.0020852
0.71 0.54 -0.297835 0.00196602
0.71 0.55 -0.314904 0.0018673
0.71 0.56 -0.330388 0.00181673
0.71 0.57 -0.338593 0.0016488
0.71 0.58 -0.348827 0.00170545
0.71 0.59 -0.354476 0.00154875
0.71 0.6 -0.359051 0.00154501
0.71 0.61 -0.36423 0.00158877
0.71 0.62 -0.36428 0.00152474
0.71 0.63 -0.364262 0.00172294
0.71 0.64 -0.362993 0.0019023
0.71 0.65 -0.360633 0.00198508
0.71 0.66 -0.358067 0.00200533
0.71 0.67 -0.353364 0.00235682
0.71 0.68 -0.344937 0.00246906
0.71 0.69 -0.341016 0.00224741
0.71 0.7 -0.336915 0.00241114
0.71 0.71 -0.327686 0.00288315
0.71 0.72 -0.317662 0.00326563
0.71 0.73 -0.307535 0.00338807
0.71 0.74 -0.304159 0.00274809
0.71 0.75 -0.295497 0.00308753
0.71 0.76 -0.286633 0.00344823
0.71 0.77 -0.275943 0.00374211
0.71 0.78 -0.265759 0.00400763
0.71 0.79 -0.256187 0.00427703
0.72 0.5 -0.189294 0.00241099
0.72 0.51 -0.227622 0.00242246
